"R0","mu","kappa","peakFrac"
1.5,1.41082398505455,0.805671087192553,0.60140894472411
2,1.90581154204846,0.865319054028438,0.569681776331788
3,2.28456679152246,0.773736691795827,0.563736964380229
6,2.82765577187559,0.360993200881783,0.756833057927605
12,3.15631746102142,0.183437880109252,0.769823710716673
